400	0.98416
402	1.3154
404	1.3314
406	1.385
408	1.7705
410	1.9428
412	1.6578
414	1.4481
416	1.5589
418	1.4
420	1.4978
422	1.4894
424	1.6002
426	1.5875
428	1.5988
430	1.3771
432	1.5036
434	1.4237
436	1.3663
438	1.3861
440	1.3615
442	1.3183
444	1.2863
446	1.3111
448	1.266
450	1.2832
452	1.2648
454	1.241
456	1.2302
458	1.2015
460	1.218
462	1.1898
464	1.176
466	1.1684
468	1.1111
470	1.1141
472	1.0923
474	1.0934
476	1.0744
478	1.0547
480	1.0363
482	1.02
484	1.008
486	0.989
488	0.98059
490	0.96869
492	0.96197
494	0.93465
496	0.93033
498	0.91977
500	0.90083
502	0.87469
504	0.87201
506	0.85427
508	0.83223
510	0.82256
512	0.80552
514	0.79882
516	0.78679
518	0.7646
520	0.76016
522	0.7502
524	0.73613
526	0.72816
528	0.71253
530	0.7041
532	0.69282
534	0.68656
536	0.6701
538	0.65845
540	0.64813
542	0.63336
544	0.61941
546	0.60782
548	0.59757
550	0.58251
552	0.57527
554	0.56264
556	0.55297
558	0.54226
560	0.53025
562	0.51847
564	0.50765
566	0.5008
568	0.49424
570	0.48464
572	0.47914
574	0.47195
576	0.46407
578	0.45913
580	0.45423
582	0.44892
584	0.44775
586	0.44447
588	0.44794
590	0.44768
592	0.44989
594	0.45463
596	0.4634
598	0.46576
600	0.47239
602	0.47567
604	0.48075
606	0.47837
608	0.46737
610	0.4524
612	0.43118
614	0.40643
616	0.38766
618	0.36562
620	0.35289
622	0.34292
624	0.33765
626	0.33204
628	0.3321
630	0.32935
632	0.33508
634	0.33569
636	0.33667
638	0.33879
640	0.33749
642	0.3322
644	0.32687
646	0.31727
648	0.3052
650	0.2912
652	0.27961
654	0.26936
656	0.26116
658	0.25416
660	0.24985
662	0.24711
664	0.24382
666	0.23909
668	0.23572
670	0.23283
672	0.22632
674	0.22222
676	0.21709
678	0.21325
680	0.20847
682	0.20325
684	0.1975
686	0.19434
688	0.19338
690	0.18909
692	0.18384
694	0.18471
696	0.17988
698	0.17498
700	0.17187
702	0.16626
704	0.16336
706	0.16271
708	0.15835
710	0.15549
712	0.15177
714	0.15205
716	0.14667
718	0.14217
720	0.14128
722	0.13846
724	0.13868
726	0.13201
728	0.12842
730	0.12818
732	0.12413
734	0.12324
736	0.1192
738	0.11885
740	0.11626
742	0.11313
744	0.11048
746	0.10941
748	0.10625
750	0.10513
752	0.10404
754	0.1001
756	0.09997
758	0.09892
760	0.09613
762	0.09642
764	0.0934
766	0.09084
768	0.08963
770	0.08908
772	0.09151
774	0.08927
776	0.09298
778	0.08971
780	0.09102
782	0.08701
784	0.08966
786	0.09108
788	0.09119
790	0.08995
792	0.09278
794	0.09166
796	0.09234
798	0.0934
800	0.09187
802	0.09332
804	0.09622
806	0.09356
808	0.09366
810	0.0962
812	0.09577
814	0.09791
816	0.10046
818	0.09884
820	0.10075
822	0.101
824	0.10163
826	0.10229
828	0.10167
830	0.10472
832	0.10466
834	0.10249
836	0.10455
838	0.10366
840	0.10558
842	0.10441
844	0.10514
846	0.10797
848	0.11011
850	0.10786
852	0.10821
854	0.10765
856	0.11252
858	0.10861
860	0.11198
862	0.11034
864	0.10825
866	0.10901
868	0.11013
870	0.11057
872	0.1131
874	0.11019
876	0.11086
878	0.11032
880	0.10964
882	0.11184
884	0.1109
886	0.11468
888	0.11018
890	0.10861
892	0.11497
894	0.11254
896	0.10928
898	0.11057
900	0.10906
902	0.11106
904	0.11247
906	0.1126
908	0.11246
910	0.11388
912	0.11069
914	0.11336
916	0.11107
918	0.11109
920	0.11385
922	0.1129
924	0.11276
926	0.10918
928	0.11624
930	0.1115
932	0.11259
934	0.11319
936	0.11054
938	0.11472
940	0.11425
942	0.11321
944	0.11081
946	0.11216
948	0.11121
950	0.11044
952	0.11149
954	0.11349
956	0.11418
958	0.11267
960	0.11123
962	0.11657
964	0.10915
966	0.11636
968	0.11534
970	0.11178
972	0.11703
974	0.11903
976	0.11549
978	0.11626
980	0.11838
982	0.11911
984	0.12169
986	0.12421
988	0.11436
990	0.11386
992	0.1161
994	0.11769
996	0.12025
998	0.12432
1000	0.12495
